id,customer_name,total,transaction_date
1,Brandy,206792,2026-05-16
2,Christopher,469831,2026-05-16
3,David,334148,2026-05-16
4,Paul,314982,2026-05-26
5,Jason,392878,2026-05-09
6,Thomas,337692,2026-05-16
7,Nancy,319860,2026-05-29
8,Scott,248441,2026-05-11
9,Ashley,346896,2026-05-15
10,Amy,109902,2026-05-23
11,Angela,95131,2026-05-25
12,Robert,329018,2026-05-08
13,Mark,393164,2026-05-06
14,John,438995,2026-05-21
15,Matthew,442143,2026-05-02
16,Norma,248750,2026-05-23
17,Benjamin,252213,2026-05-06
18,Dana,456145,2026-05-17
19,Charles,315932,2026-05-07
20,James,240344,2026-05-10
21,Brittany,169945,2026-05-19
22,Jeffrey,268283,2026-05-29
23,Jennifer,90580,2026-05-01
24,Laurie,179827,2026-05-01
25,Amy,423882,2026-05-05
26,Sarah,56364,2026-05-21
27,Carl,419888,2026-05-09
28,Andrew,297726,2026-05-22
29,Katrina,195912,2026-05-17
30,Maria,219063,2026-05-29
31,William,426108,2026-05-29
32,Judy,344486,2026-05-08
33,Wanda,317815,2026-05-23
34,Sherry,162066,2026-05-24
35,Michael,147916,2026-05-28
36,Alexander,411540,2026-05-11
37,Randy,447765,2026-05-06
38,Kristy,471068,2026-05-12
39,Scott,264763,2026-05-22
40,Kyle,226877,2026-05-02
41,Tanya,345237,2026-05-26
42,Kimberly,236722,2026-05-25
43,James,441148,2026-05-29
44,Ronald,436591,2026-05-17
45,Elizabeth,396172,2026-05-10
46,Shane,488353,2026-05-29
47,Lisa,120560,2026-05-25
48,Emily,296305,2026-05-18
49,Scott,430856,2026-05-07
50,Denise,78739,2026-05-18
51,Brian,208904,2026-05-25
52,Stephanie,133341,2026-05-09
53,Michael,151338,2026-05-07
54,Shannon,321359,2026-05-13
55,Donna,81847,2026-05-11
56,Richard,400943,2026-05-27
57,Steve,425025,2026-05-22
58,Timothy,436045,2026-05-04
59,Tanya,173571,2026-05-29
60,Debra,460853,2026-05-05
61,Henry,344980,2026-05-05
62,Thomas,78542,2026-05-20
63,Kelly,352266,2026-05-05
64,Kenneth,230278,2026-05-14
65,Eric,465798,2026-05-10
66,Chase,350609,2026-05-03
67,Mary,140334,2026-05-28
68,Morgan,496489,2026-05-05
69,Michael,279827,2026-05-16
70,Melissa,461449,2026-05-21
71,Bruce,182410,2026-05-27
72,Kurt,296969,2026-05-12
73,Robert,166875,2026-05-04
74,Jacob,421167,2026-05-04
75,Eugene,60716,2026-05-04
76,Robert,147262,2026-05-14
77,Scott,496172,2026-05-23
78,Kathleen,126409,2026-05-12
79,Brittany,90487,2026-05-21
80,Brittany,319301,2026-05-10
81,Rita,303059,2026-05-20
82,Sarah,94980,2026-05-26
83,Austin,167892,2026-05-16
84,Alexander,100392,2026-05-05
85,Franklin,230047,2026-05-10
86,Annette,190455,2026-05-24
87,Kevin,176984,2026-05-02
88,Traci,398534,2026-05-09
89,Katherine,129953,2026-05-18
90,Jacob,202262,2026-05-05
91,Cynthia,239089,2026-05-15
92,Courtney,464158,2026-05-12
93,Laura,332942,2026-05-22
94,Troy,239677,2026-05-14
95,Randall,383221,2026-05-06
96,Robert,378762,2026-05-06
97,Ryan,139428,2026-05-05
98,Wanda,109995,2026-05-12
99,Jodi,305151,2026-05-28
100,Deborah,455687,2026-05-13
